Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_036323765.1	ASM3632376v1	Streptomyces sp. TRM 70351		TRM 70351					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-01-31	JAZDCW01	
GCF_036323765.1	ASM3632376v1	Streptomyces sp. TRM 70351		TRM 70351					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-01-31	JAZDCW01	
GCA_004217355.1	ASM421735v1	Streptomyces sp. BK022		BK022					Annotation submitted by DOE Joint Genome Institute	Scaffold	2019-02-20	SHKU01	12
GCF_004217355.1	ASM421735v1	Streptomyces sp. BK022		BK022					GCF_004217355.1-RS_2024_05_27	Scaffold	2019-02-20	SHKU01	12
GCA_033366655.1	ASM3336665v1	Streptomyces sp. SJL17-1		SJL17-1						Contig	2023-11-06	JAOBTS01	
GCF_033366655.1	ASM3336665v1	Streptomyces sp. SJL17-1		SJL17-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-11-06	JAOBTS01	
GCA_040932295.1	ASM4093229v1	Streptomyces sp. C36		C36					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-07-28	JBFQGI01	
GCF_040932295.1	ASM4093229v1	Streptomyces sp. C36		C36					GCF_040932295.1-RS_2024_07_29	Contig	2024-07-28	JBFQGI01	
GCA_040446465.1	ASM4044646v1	Streptomyces sp. RG80		RG80					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2024-07-01	JBEAAJ01	39
GCF_040446465.1	ASM4044646v1	Streptomyces sp. RG80		RG80					GCF_040446465.1-RS_2024_07_02	Scaffold	2024-07-01	JBEAAJ01	39
GCA_001905385.1	ASM190538v1	Streptomyces sp. CB02414		CB02414					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2016-12-15	LIPF01	19
GCF_001905385.1	ASM190538v1	Streptomyces sp. CB02414		CB02414					GCF_001905385.1-RS_2024_03_27	Scaffold	2016-12-15	LIPF01	19
GCA_003041235.1	ASM304123v1	Streptomyces sp. A244		A244					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-04-06	PZKK01	
GCF_003041235.1	ASM304123v1	Streptomyces sp. A244		A244					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-04-06	PZKK01	
GCA_025517595.1	ASM2551759v1	Streptomyces sp. G-5		G-5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-10-02	JAOQAQ01	35
GCF_025517595.1	ASM2551759v1	Streptomyces sp. G-5		G-5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-10-02	JAOQAQ01	35
GCA_004187715.1	ASM418771v1	Streptomyces sp. F001		F001					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-02-12	QZWF01	171
GCF_004187715.1	ASM418771v1	Streptomyces sp. F001		F001					GCF_004187715.1-RS_2024_05_20	Scaffold	2019-02-12	QZWF01	171
GCA_019336385.1	ASM1933638v1	Streptomyces sp. 09ZI22		09ZI22					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-07-25	JAHWTL01	
GCF_019336385.1	ASM1933638v1	Streptomyces sp. 09ZI22		09ZI22					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-07-25	JAHWTL01	
GCA_003116715.1	ASM311671v1	Streptomyces sp. CS081A		CS081A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-04-26	QBHX01	9
GCF_003116715.1	ASM311671v1	Streptomyces sp. CS081A		CS081A					GCF_003116715.1-RS_2024_05_06	Scaffold	2018-04-26	QBHX01	9
GCA_001905665.1	ASM190566v1	Streptomyces sp. CB02261		CB02261					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2016-12-15	LIVX01	18
GCF_001905665.1	ASM190566v1	Streptomyces sp. CB02261		CB02261					GCF_001905665.1-RS_2024_03_27	Scaffold	2016-12-15	LIVX01	18
GCA_003949905.1	ASM394990v1	Streptomyces sp. WAC06273		WAC06273					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-12-14	RPSD01	
GCF_003949905.1	ASM394990v1	Streptomyces sp. WAC06273		WAC06273					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-12-14	RPSD01	
GCA_040674455.1	ASM4067445v1	Streptomyces sp. NPDC049837		NPDC049837					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2024-07-12	JBFAMP01	33
GCF_040674455.1	ASM4067445v1	Streptomyces sp. NPDC049837		NPDC049837					GCF_040674455.1-RS_2024_07_13	Scaffold	2024-07-12	JBFAMP01	33
GCA_012927245.1	ASM1292724v1	Streptomyces sp. R302		R302					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-04-28	JABBGE01	26
GCF_012927245.1	ASM1292724v1	Streptomyces sp. R302		R302					GCF_012927245.1-RS_2024_05_22	Scaffold	2020-04-28	JABBGE01	26
GCA_039766235.1	ASM3976623v1	Streptomyces sp. 21So2-11		21So2-11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-05-22	JBDHNH01	
GCF_039766235.1	ASM3976623v1	Streptomyces sp. 21So2-11		21So2-11					GCF_039766235.1-RS_2024_05_23	Contig	2024-05-22	JBDHNH01	
GCA_040612455.1	ASM4061245v1	Streptomyces halstedii		NPDC006375					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2024-07-11	JBEXQI01	30
GCF_040612455.1	ASM4061245v1	Streptomyces halstedii		NPDC006375					GCF_040612455.1-RS_2024_07_11	Scaffold	2024-07-11	JBEXQI01	30
GCA_003984965.1	ASM398496v1	Streptomyces sp. WAC06128		WAC06128					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-12-14	RPSC01	
GCF_003984965.1	ASM398496v1	Streptomyces sp. WAC06128		WAC06128					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-12-14	RPSC01	
GCA_021390935.1	ASM2139093v1	Streptomyces sp. CC228A		CC228A						Contig	2022-01-08	JAJPUI01	
GCF_021390935.1	ASM2139093v1	Streptomyces sp. CC228A		CC228A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-01-08	JAJPUI01	
GCA_001905845.1	ASM190584v1	Streptomyces sp. TSRI0107		TSRI0107					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2016-12-15	LIVZ01	30
GCF_001905845.1	ASM190584v1	Streptomyces sp. TSRI0107		TSRI0107					GCF_001905845.1-RS_2024_03_27	Scaffold	2016-12-15	LIVZ01	30
GCA_033792405.1	ASM3379240v1	Streptomyces caniscabiei		TX07-01D					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-11-17	JARAUX01	41
GCF_033792405.1	ASM3379240v1	Streptomyces caniscabiei		TX07-01D					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-11-17	JARAUX01	41
GCA_003254205.1	ASM325420v1	Streptomyces sp. DvalAA-21		DvalAA-21					Annotation submitted by DOE Joint Genome Institute	Contig	2018-06-19	QKZP01	
GCF_003254205.1	ASM325420v1	Streptomyces sp. DvalAA-21		DvalAA-21					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-06-19	QKZP01	
GCA_040609915.1	ASM4060991v1	Streptomyces rubiginosohelvolus		NPDC004571					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2024-07-10	JBEXLK01	32
GCF_040609915.1	ASM4060991v1	Streptomyces rubiginosohelvolus		NPDC004571					GCF_040609915.1-RS_2024_07_11	Scaffold	2024-07-10	JBEXLK01	32
GCA_001184025.1	ASM118402v1	Streptomyces sp. NBRC 110468		NBRC 110468						Scaffold	2015-07-16	BBYG01	33
GCF_001184025.1	ASM118402v1	Streptomyces sp. NBRC 110468		NBRC 110468					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2015-07-16	BBYG01	33
GCA_001905445.1	ASM190544v1	Streptomyces sp. CB00455		CB00455					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2016-12-15	LIVQ01	21
GCF_001905445.1	ASM190544v1	Streptomyces sp. CB00455		CB00455					GCF_001905445.1-RS_2024_03_27	Scaffold	2016-12-15	LIVQ01	21
GCA_001426405.1	Root1304	Streptomyces sp. Root1304		Root1304					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2015-11-02	LMEP01	28
GCF_001426405.1	Root1304	Streptomyces sp. Root1304		Root1304					GCF_001426405.1-RS_2024_05_26	Scaffold	2015-11-02	LMEP01	28
GCA_020982545.1	ASM2098254v1	Streptomyces sp. MNU76		MNU76					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-11-24	JAJKLK01	
GCF_020982545.1	ASM2098254v1	Streptomyces sp. MNU76		MNU76					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-11-24	JAJKLK01	
GCA_002188355.1	ASM218835v1	Streptomyces sp. CS227		CS227					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-06-09	NEVE01	5
GCF_002188355.1	ASM218835v1	Streptomyces sp. CS227		CS227					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-06-09	NEVE01	5
GCA_013357925.1	ASM1335792v1	Streptomyces lunaelactis		MMun143					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-06-17	JABSUS01	
GCF_013357925.1	ASM1335792v1	Streptomyces lunaelactis		MMun143					GCF_013357925.1-RS_2024_06_05	Contig	2020-06-17	JABSUS01	
GCA_000721595.1	ASM72159v1	Streptomyces sp. NRRL S-325		NRRL S-325						Contig	2014-07-02	JOIW01	
GCF_000721595.1	ASM72159v1	Streptomyces sp. NRRL S-325		NRRL S-325					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2014-07-02	JOIW01	
GCA_004217285.1	ASM421728v1	Streptomyces sp. BK239		BK239					Annotation submitted by DOE Joint Genome Institute	Scaffold	2019-02-20	SHKS01	16
GCF_004217285.1	ASM421728v1	Streptomyces sp. BK239		BK239					GCF_004217285.1-RS_2024_05_27	Scaffold	2019-02-20	SHKS01	16
GCA_003259275.1	ASM325927v1	Streptomyces sp. DpondAA-E10		DpondAA-E10					Annotation submitted by DOE Joint Genome Institute	Scaffold	2018-06-21	QLLS01	37
GCF_003259275.1	ASM325927v1	Streptomyces sp. DpondAA-E10		DpondAA-E10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-06-21	QLLS01	37
GCA_001905905.1	ASM190590v1	Streptomyces sp. CB02366		CB02366					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2016-12-15	LIVT01	44
GCF_001905905.1	ASM190590v1	Streptomyces sp. CB02366		CB02366					GCF_001905905.1-RS_2024_03_27	Scaffold	2016-12-15	LIVT01	44
GCA_040636555.1	ASM4063655v1	Streptomyces massasporeus		NPDC036699					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2024-07-11	JBEZUU01	35
GCF_040636555.1	ASM4063655v1	Streptomyces massasporeus		NPDC036699					GCF_040636555.1-RS_2024_07_12	Scaffold	2024-07-11	JBEZUU01	35
GCA_002761895.1	ASM276189v1	Streptomyces sp. JV178		JV178					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-11-08	PEKU01	759
GCF_002761895.1	ASM276189v1	Streptomyces sp. JV178		JV178					GCF_002761895.1-RS_2024_08_02	Scaffold	2017-11-08	PEKU01	759
GCA_014170455.1	ASM1417045v1	Streptomyces sp. gCLA4		gCLA4						Contig	2020-08-12	MBDH01	
GCF_014170455.1	ASM1417045v1	Streptomyces sp. gCLA4		gCLA4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-08-12	MBDH01	
GCA_040638895.1	ASM4063889v1	Streptomyces sp. NPDC024017		NPDC024017					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2024-07-11	JBEZYZ01	32
GCF_040638895.1	ASM4063889v1	Streptomyces sp. NPDC024017		NPDC024017					GCF_040638895.1-RS_2024_07_12	Scaffold	2024-07-11	JBEZYZ01	32
GCA_040644135.1	ASM4064413v1	Streptomyces sp. NPDC047024		NPDC047024					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2024-07-11	JBEYVT01	27
GCF_040644135.1	ASM4064413v1	Streptomyces sp. NPDC047024		NPDC047024					GCF_040644135.1-RS_2024_07_12	Scaffold	2024-07-11	JBEYVT01	27
GCA_003116795.1	ASM311679v1	Streptomyces sp. CS207		CS207					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-04-26	QBIB01	4
GCF_003116795.1	ASM311679v1	Streptomyces sp. CS207		CS207					GCF_003116795.1-RS_2024_05_08	Scaffold	2018-04-26	QBIB01	4
GCA_036898405.1	ASM3689840v1	Streptomyces sp. B21-106		B21-106					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-28	JARUMI01	
GCF_036898405.1	ASM3689840v1	Streptomyces sp. B21-106		B21-106					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-28	JARUMI01	
GCA_000647875.1	ASM64787v1	Streptomyces sp. SolWspMP-sol2th		SolWspMP-sol2th						Scaffold	2014-04-23	ARPF01	28
GCF_000647875.1	ASM64787v1	Streptomyces sp. SolWspMP-sol2th		SolWspMP-sol2th					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2014-04-23	ARPF01	28
GCA_009862115.1	ASM986211v1	Streptomyces sp. SID8359		SID8359					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-01-13	WWGS01	28
GCF_009862115.1	ASM986211v1	Streptomyces sp. SID8359		SID8359					GCF_009862115.1-RS_2024_05_08	Scaffold	2020-01-13	WWGS01	28
GCA_001905345.1	ASM190534v1	Streptomyces uncialis		DCA2648					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2016-12-15	LFBV01	16
GCF_001905345.1	ASM190534v1	Streptomyces uncialis		DCA2648					GCF_001905345.1-RS_2024_05_03	Scaffold	2016-12-15	LFBV01	16
GCA_029958285.1	ASM2995828v1	Streptomyces sp. AN-3		AN-3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-05-08	JASBOE01	
GCF_029958285.1	ASM2995828v1	Streptomyces sp. AN-3		AN-3					GCF_029958285.1-RS_2024_06_07	Contig	2023-05-08	JASBOE01	
GCA_003675975.1	ASM367597v1	Streptomyces sp. CBMAI 2042		CBMAI 2042					Annotation submitted by University of Cambridge	Scaffold	2018-10-23	RCOL01	3
GCF_003675975.1	ASM367597v1	Streptomyces sp. CBMAI 2042		CBMAI 2042					GCF_003675975.1-RS_2024_03_14	Scaffold	2018-10-23	RCOL01	3
GCA_033794025.1	ASM3379402v1	Streptomyces sp. ME02-6991-2A		ME02-6991-2A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-11-17	JARAXT01	
GCF_033794025.1	ASM3379402v1	Streptomyces sp. ME02-6991-2A		ME02-6991-2A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-11-17	JARAXT01	
GCA_023072595.1	ASM2307259v1	Streptomyces sp. XM4193		XM4193					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-04-20	JALLGK01	
GCF_023072595.1	ASM2307259v1	Streptomyces sp. XM4193		XM4193					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-04-20	JALLGK01	
GCA_040303685.1	ASM4030368v1	Streptomyces fimicarius		NPDC094457					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2024-06-24	JBEOTQ01	26
GCF_040303685.1	ASM4030368v1	Streptomyces fimicarius		NPDC094457					GCF_040303685.1-RS_2024_06_25	Scaffold	2024-06-24	JBEOTQ01	26
GCA_040684015.1	ASM4068401v1	Streptomyces sp. NPDC093023		NPDC093023					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2024-07-12	JBFBFE01	52
GCF_040684015.1	ASM4068401v1	Streptomyces sp. NPDC093023		NPDC093023					GCF_040684015.1-RS_2024_07_14	Scaffold	2024-07-12	JBFBFE01	52
GCA_033792205.1	ASM3379220v1	Streptomyces caniscabiei		TX20-1-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-11-17	JARAUV01	40
GCF_033792205.1	ASM3379220v1	Streptomyces caniscabiei		TX20-1-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-11-17	JARAUV01	40
GCA_000719915.1	ASM71991v1	Streptomyces sp. NRRL F-2890		NRRL F-2890						Contig	2014-07-02	JOIG01	
GCF_000719915.1	ASM71991v1	Streptomyces sp. NRRL F-2890		NRRL F-2890					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2014-07-02	JOIG01	
GCA_026342605.1	ASM2634260v1	Streptomyces sp. NBC_00199		NBC_00199					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-11-23	JAPEMO01	
GCF_026342605.1	ASM2634260v1	Streptomyces sp. NBC_00199		NBC_00199					GCF_026342605.1-RS_2024_07_28	Contig	2022-11-23	JAPEMO01	
GCA_033794835.1	ASM3379483v1	Streptomyces sp. ID03-2B		ID03-2B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-11-17	JARAZG01	25
GCF_033794835.1	ASM3379483v1	Streptomyces sp. ID03-2B		ID03-2B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-11-17	JARAZG01	25
GCA_000720765.1	ASM72076v1	Streptomyces sp. NRRL S-646		NRRL S-646						Contig	2014-07-02	JODC01	
GCF_000720765.1	ASM72076v1	Streptomyces sp. NRRL S-646		NRRL S-646					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2014-07-02	JODC01	
GCA_040637965.1	ASM4063796v1	Streptomyces sp. NPDC027717		NPDC027717					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2024-07-11	JBEZXI01	18
GCF_040637965.1	ASM4063796v1	Streptomyces sp. NPDC027717		NPDC027717					GCF_040637965.1-RS_2024_07_12	Scaffold	2024-07-11	JBEZXI01	18
GCA_003363195.1	ASM336319v1	Streptomyces sp. M7		M7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-08-04	QRAK01	
GCF_003363195.1	ASM336319v1	Streptomyces sp. M7		M7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-08-04	QRAK01	
GCA_004341025.1	ASM434102v1	Streptomyces sp. BK205		BK205					Annotation submitted by DOE Joint Genome Institute	Scaffold	2019-03-11	SLYY01	34
GCF_004341025.1	ASM434102v1	Streptomyces sp. BK205		BK205					GCF_004341025.1-RS_2024_05_30	Scaffold	2019-03-11	SLYY01	34
GCA_030403745.1	ASM3040374v1	Streptomyces sp. S.PB5		S.PB5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-07-03	JAQMWP01	
GCF_030403745.1	ASM3040374v1	Streptomyces sp. S.PB5		S.PB5					GCF_030403745.1-RS_2024_07_11	Contig	2023-07-03	JAQMWP01	
GCA_040633595.1	ASM4063359v1	Streptomyces sp. NPDC012617		NPDC012617					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2024-07-11	JBEYDV01	36
GCF_040633595.1	ASM4063359v1	Streptomyces sp. NPDC012617		NPDC012617					GCF_040633595.1-RS_2024_07_12	Scaffold	2024-07-11	JBEYDV01	36
GCA_001905405.1	ASM190540v1	Streptomyces sp. TSRI0445		TSRI0445					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2016-12-15	LIPC01	19
GCF_001905405.1	ASM190540v1	Streptomyces sp. TSRI0445		TSRI0445					GCF_001905405.1-RS_2024_07_07	Scaffold	2016-12-15	LIPC01	19
GCA_017948495.1	ASM1794849v1	Streptomyces sp. GESEQ-13		GESEQ-13						Contig	2021-04-14	JAFFSV01	
GCF_017948495.1	ASM1794849v1	Streptomyces sp. GESEQ-13		GESEQ-13					GCF_017948495.1-RS_2024_03_21	Contig	2021-04-14	JAFFSV01	
GCA_040683975.1	ASM4068397v1	Streptomyces sp. NPDC093084		NPDC093084					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2024-07-12	JBFBFC01	35
GCF_040683975.1	ASM4068397v1	Streptomyces sp. NPDC093084		NPDC093084					GCF_040683975.1-RS_2024_07_13	Scaffold	2024-07-12	JBFBFC01	35
GCA_001905825.1	ASM190582v1	Streptomyces sp. CB02009		CB02009					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2016-12-15	LIVV01	35
GCF_001905825.1	ASM190582v1	Streptomyces sp. CB02009		CB02009					GCF_001905825.1-RS_2024_03_27	Scaffold	2016-12-15	LIVV01	35
GCA_040304005.1	ASM4030400v1	Streptomyces bauhiniae		NPDC094017					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2024-06-24	JBEOUJ01	21
GCF_040304005.1	ASM4030400v1	Streptomyces bauhiniae		NPDC094017					GCF_040304005.1-RS_2024_06_25	Scaffold	2024-06-24	JBEOUJ01	21
GCA_018530775.1	ASM1853077v1	Streptomyces sp. Tu102		Tu102					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-05-26	JAHDTK01	
GCF_018530775.1	ASM1853077v1	Streptomyces sp. Tu102		Tu102					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-05-26	JAHDTK01	
GCA_000375725.1	ASM37572v1	Streptomyces sp. LaPpAH-95		LaPpAH-95						Contig	2013-04-20	AQWQ01	
GCF_000375725.1	ASM37572v1	Streptomyces sp. LaPpAH-95		LaPpAH-95					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2013-04-20	AQWQ01	
GCA_009863265.1	ASM986326v1	Streptomyces sp. SID4923		SID4923					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-01-13	WWJK01	
GCF_009863265.1	ASM986326v1	Streptomyces sp. SID4923		SID4923					GCF_009863265.1-RS_2024_05_16	Contig	2020-01-13	WWJK01	
GCA_020873855.1	ASM2087385v1	Streptomyces sp. DH1		DH1						Contig	2021-11-15	JAHWGV01	
GCF_020873855.1	ASM2087385v1	Streptomyces sp. DH1		DH1					GCF_020873855.1-RS_2024_08_02	Contig	2021-11-15	JAHWGV01	
GCA_040643025.1	ASM4064302v1	Streptomyces sp. NPDC047525		NPDC047525					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2024-07-11	JBEYTL01	60
GCF_040643025.1	ASM4064302v1	Streptomyces sp. NPDC047525		NPDC047525					GCF_040643025.1-RS_2024_07_12	Scaffold	2024-07-11	JBEYTL01	60
GCA_040303705.1	ASM4030370v1	Streptomyces griseoluteus		NPDC094310					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-06-24	JBEOTV01	
GCF_040303705.1	ASM4030370v1	Streptomyces griseoluteus		NPDC094310					GCF_040303705.1-RS_2024_06_25	Contig	2024-06-24	JBEOTV01	
GCA_001748085.1	ASM174808v1	Streptomyces sp. TP-A0874		TP-A0874						Scaffold	2016-08-23	BBZK01	18
GCF_001748085.1	ASM174808v1	Streptomyces sp. TP-A0874		TP-A0874					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2016-08-23	BBZK01	18
GCA_001905855.1	ASM190585v1	Streptomyces sp. CB01883		CB01883					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2016-12-15	LIWA01	18
GCF_001905855.1	ASM190585v1	Streptomyces sp. CB01883		CB01883					GCF_001905855.1-RS_2024_03_27	Scaffold	2016-12-15	LIWA01	18
GCA_900090125.1	IMG-taxon 2522125136 annotated assembly	Streptomyces sp. WMMB 714		WMMB 714					Annotation submitted by DOE - JOINT GENOME INSTITUTE	Scaffold	2016-08-24	FMHJ01	34
GCF_900090125.1	IMG-taxon 2522125136 annotated assembly	Streptomyces sp. WMMB 714		WMMB 714					GCF_900090125.1-RS_2024_07_28	Scaffold	2016-08-24	FMHJ01	34
GCA_007595705.1	ASM759570v1	Streptomyces sp. SAJ15		SAJ15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-07-29	NISY01	
GCF_007595705.1	ASM759570v1	Streptomyces sp. SAJ15		SAJ15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-07-29	NISY01	
GCA_001905785.1	ASM190578v1	Streptomyces sp. CB02130		CB02130					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2016-12-15	LIXK01	20
GCF_001905785.1	ASM190578v1	Streptomyces sp. CB02130		CB02130					GCF_001905785.1-RS_2024_03_27	Scaffold	2016-12-15	LIXK01	20
GCA_040614075.1	ASM4061407v1	Streptomyces sp. NPDC006174		NPDC006174					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2024-07-11	JBEXTJ01	32
GCF_040614075.1	ASM4061407v1	Streptomyces sp. NPDC006174		NPDC006174					GCF_040614075.1-RS_2024_07_11	Scaffold	2024-07-11	JBEXTJ01	32
GCA_003989035.1	ASM398903v1	Streptomyces sp. NP10		NP10					Annotation submitted by Bielefeld University	Contig	2018-12-31	PDIQ01	
GCF_003989035.1	ASM398903v1	Streptomyces sp. NP10		NP10					GCF_003989035.1-RS_2024_05_01	Contig	2018-12-31	PDIQ01	
GCA_001983595.1	ASM198359v1	Streptomyces sp. IB2014 011-1		IB2014 011-1					Annotation submitted by Helmholtz Centre for Infection Research	Scaffold	2017-02-02	LZQS01	31
GCF_001983595.1	ASM198359v1	Streptomyces sp. IB2014 011-1		IB2014 011-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-02-02	LZQS01	31
GCA_040609235.1	ASM4060923v1	Streptomyces sp. NPDC004732		NPDC004732					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2024-07-10	JBEXJR01	58
GCF_040609235.1	ASM4060923v1	Streptomyces sp. NPDC004732		NPDC004732					GCF_040609235.1-RS_2024_07_11	Scaffold	2024-07-10	JBEXJR01	58
GCA_009865065.1	ASM986506v1	Streptomyces sp. SID8373		SID8373					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-01-13	WWGI01	79
GCF_009865065.1	ASM986506v1	Streptomyces sp. SID8373		SID8373					GCF_009865065.1-RS_2024_05_07	Scaffold	2020-01-13	WWGI01	79
GCA_018619535.1	ASM1861953v1	Streptomyces sp. CYG20		CYG20					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-06-01	JAHHEI01	
GCF_018619535.1	ASM1861953v1	Streptomyces sp. CYG20		CYG20					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-06-01	JAHHEI01	
GCA_014930405.1	ASM1493040v1	Streptomyces caniscabiei		NE06-02F					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-10-23	JABXWJ01	66
