Assembly Accession 	Organism Name                                           	Organism Infraspecific Names Strain 	Assembly Stats Total Sequence Length 	Assembly Stats Contig N50 	Assembly Stats Contig L50 	Assembly Stats GC Count 	Assembly Stats GC Percent 	CheckM contamination
GCA_015911075.1    	Ralstonia solanacearum                                  	NAK 213                             	                             5260679 	                   101485 	                       17 	                3510134 	                     66.5 	                1.78
GCA_015911095.1    	Ralstonia solanacearum                                  	NAK 210                             	                             5259127 	                   101485 	                       16 	                3509311 	                     66.5 	                1.78
GCA_015911115.1    	Ralstonia solanacearum                                  	NAK 202                             	                             5260180 	                   110327 	                       15 	                3509821 	                     66.5 	                1.78
GCA_015911155.1    	Ralstonia solanacearum                                  	NAK 201                             	                             5260539 	                   110619 	                       16 	                3510059 	                     66.5 	                1.78
GCA_015911165.1    	Ralstonia solanacearum                                  	NAK 199                             	                             5259705 	                   110328 	                       15 	                3509630 	                     66.5 	                1.78
GCA_015911195.1    	Ralstonia solanacearum                                  	NAK 180                             	                             5267739 	                   110327 	                       15 	                3514483 	                     66.5 	                1.78
GCA_015911205.1    	Ralstonia solanacearum                                  	NAK 198                             	                             5262270 	                   110328 	                       15 	                3511331 	                     66.5 	                1.78
GCA_015911215.1    	Ralstonia solanacearum                                  	NAK 170                             	                             5267432 	                   110328 	                       16 	                3514297 	                     66.5 	                1.78
GCA_015911255.1    	Ralstonia solanacearum                                  	NAK 164                             	                             5269170 	                   110328 	                       16 	                3515342 	                     66.5 	                1.78
GCA_015911275.1    	Ralstonia solanacearum                                  	NAK 166                             	                             5259901 	                   110620 	                       16 	                3509771 	                     66.5 	                1.78
GCA_015911295.1    	Ralstonia solanacearum                                  	NAK 163                             	                             5268675 	                   110619 	                       16 	                3515034 	                     66.5 	                1.78
GCA_015911305.1    	Ralstonia solanacearum                                  	NAK 162                             	                             5260298 	                   100081 	                       17 	                3509921 	                     66.5 	                1.78
GCA_015911355.1    	Ralstonia solanacearum                                  	NAK 161                             	                             5267686 	                   110327 	                       17 	                3514434 	                     66.5 	                1.78
GCA_015911395.1    	Ralstonia solanacearum                                  	NAK 159                             	                             5260941 	                   110330 	                       16 	                3510456 	                     66.5 	                1.78
GCA_015911405.1    	Ralstonia solanacearum                                  	PD 4321                             	                             5208667 	                    36337 	                       43 	                3475487 	                     66.5 	                1.98
GCA_015911415.1    	Ralstonia solanacearum                                  	PD 4124                             	                             5246553 	                    93222 	                       17 	                3501779 	                     66.5 	                1.78
GCA_015911455.1    	Ralstonia solanacearum                                  	PD 3668                             	                             5254689 	                    26268 	                       58 	                3505162 	                     66.5 	                2.35
GCA_015911465.1    	Ralstonia solanacearum                                  	PD 4027                             	                             5251540 	                    27880 	                       55 	                3503177 	                     66.5 	                2.1
GCA_015911515.1    	Ralstonia solanacearum                                  	PD 3270                             	                             5634766 	                    98452 	                       17 	                3738372 	                     66.5 	                3.07
GCA_015911555.1    	Ralstonia solanacearum                                  	PD 3223                             	                             5258078 	                    69848 	                       24 	                3508481 	                     66.5 	                1.78
GCA_015911565.1    	Ralstonia solanacearum                                  	PD 3269                             	                             5249753 	                    84054 	                       20 	                3503623 	                     66.5 	                1.78
GCA_015911585.1    	Ralstonia solanacearum                                  	PD:3222                             	                             5636663 	                    93458 	                       18 	                3752024 	                     66.5 	                1.84
GCA_015911625.1    	Ralstonia solanacearum                                  	PD:3203                             	                             5212249 	                    55755 	                       28 	                3478071 	                     66.5 	                1.84
GCA_015911675.1    	Ralstonia solanacearum                                  	PD:3121                             	                             5256130 	                    28145 	                       58 	                3506275 	                     66.5 	                3.07
GCA_015911685.1    	Ralstonia solanacearum                                  	PD:3115                             	                             5230610 	                    28391 	                       56 	                3489516 	                     66.5 	                2.46
GCA_015911715.1    	Ralstonia solanacearum                                  	PD:3049                             	                             5251496 	                    32046 	                       52 	                3503600 	                     66.5 	                2.39
GCA_015911725.1    	Ralstonia solanacearum                                  	PD:2625                             	                             5243464 	                    21620 	                       70 	                3497395 	                     66.5 	                2.87
GCA_015911775.1    	Ralstonia solanacearum                                  	IPO:3731                            	                             5267216 	                    75582 	                       21 	                3514063 	                     66.5 	                1.78
GCA_015911785.1    	Ralstonia solanacearum                                  	PD:441                              	                             5127907 	                   111884 	                       16 	                3424347 	                     67   	                1.76
GCA_015911795.1    	Ralstonia solanacearum                                  	IPO:1828                            	                             5259524 	                   110327 	                       15 	                3509617 	                     66.5 	                1.78
GCA_015911835.1    	Ralstonia solanacearum                                  	IPO:1808                            	                             5261455 	                   110330 	                       16 	                3510597 	                     66.5 	                1.78
GCA_015911845.1    	Ralstonia solanacearum                                  	IPO:1809                            	                             5278471 	                   110620 	                       15 	                3520000 	                     66.5 	                2.05
GCA_015911875.1    	Ralstonia solanacearum                                  	IPO:1805                            	                             5262388 	                   110619 	                       15 	                3510935 	                     66.5 	                1.78
GCA_015911895.1    	Ralstonia solanacearum                                  	IPO:1804                            	                             5261102 	                   110619 	                       16 	                3510419 	                     66.5 	                1.78
GCA_015911905.1    	Ralstonia solanacearum                                  	IPO:1806                            	                             5261768 	                   110618 	                       16 	                3510693 	                     66.5 	                1.78
GCA_015911935.1    	Ralstonia solanacearum                                  	IPO:1752                            	                             5257900 	                    93209 	                       17 	                3508593 	                     66.5 	                1.78
GCA_015911945.1    	Ralstonia solanacearum                                  	CFBP:3581                           	                             5212333 	                    51263 	                       31 	                3478114 	                     66.5 	                1.88
GCA_015911975.1    	Ralstonia solanacearum                                  	IPO:1750                            	                             5258605 	                    56621 	                       28 	                3508875 	                     66.5 	                1.78
GCA_015911985.1    	Ralstonia solanacearum                                  	PD:2942                             	                             5259998 	                   101485 	                       17 	                3509760 	                     66.5 	                1.78
GCA_015912005.1    	Ralstonia solanacearum                                  	PD:2941                             	                             5259978 	                   101484 	                       16 	                3509687 	                     66.5 	                1.78
GCA_015912035.1    	Ralstonia solanacearum                                  	PD:2940                             	                             5260747 	                   110619 	                       16 	                3509955 	                     66.5 	                1.78
GCA_015912065.1    	Ralstonia solanacearum                                  	PD:1445                             	                             5469549 	                   129922 	                       14 	                3642445 	                     66.5 	                2.78
GCA_015912085.1    	Ralstonia solanacearum                                  	PD:1260                             	                             5259043 	                    62700 	                       26 	                3509147 	                     66.5 	                1.88
GCA_015912105.1    	Ralstonia solanacearum                                  	PD:1408                             	                             5270153 	                    74202 	                       22 	                3516413 	                     66.5 	                1.43
GCA_015912135.1    	Ralstonia solanacearum                                  	PD:1254                             	                             5256689 	                    93297 	                       18 	                3507718 	                     66.5 	                1.78
GCA_015912235.1    	Ralstonia solanacearum                                  	PD:2763                             	                             5263875 	                   590406 	                        4 	                3508421 	                     66.5 	                1.78
GCA_021117095.1    	Ralstonia solanacearum                                  	UW72                                	                             5331181 	                  3343222 	                        1 	                3553395 	                     66.5 	                3.55
GCA_021117115.1    	Ralstonia solanacearum                                  	CIP417_UW70                         	                             5485324 	                  3514013 	                        1 	                3656931 	                     66.5 	                1.66
GCA_021117135.1    	Ralstonia solanacearum                                  	UW251                               	                             5572607 	                  3362592 	                        1 	                3713246 	                     66.5 	                3.7
GCA_022095055.1    	Ralstonia solanacearum                                  	RsT01                               	                             5352175 	                   143029 	                       11 	                3571146 	                     66.5 	                1.54
GCA_023646415.1    	Ralstonia solanacearum                                  	UW170                               	                             5412403 	                   244099 	                        6 	                3607913 	                     66.5 	                1.79
GCA_023646435.1    	Ralstonia solanacearum                                  	P673                                	                             5549250 	                   202595 	                       10 	                3698923 	                     66.5 	                1.77
GCA_023646455.1    	Ralstonia solanacearum                                  	UW128                               	                             5494760 	                   147303 	                       12 	                3658810 	                     66.5 	                1.85
GCA_023646475.1    	Ralstonia solanacearum                                  	RUN0002                             	                             5549250 	                   202595 	                       10 	                3698923 	                     66.5 	                1.77
GCA_023646495.1    	Ralstonia solanacearum                                  	P840                                	                             5518940 	                   109946 	                       17 	                3678906 	                     66.5 	                1.51
GCA_023646515.1    	Ralstonia solanacearum                                  	RUN0003                             	                             5548179 	                   167031 	                       12 	                3698060 	                     66.5 	                1.83
GCA_023646535.1    	Ralstonia solanacearum                                  	P780                                	                             5512323 	                   117479 	                       15 	                3674489 	                     66.5 	                1.51
GCA_023646555.1    	Ralstonia solanacearum                                  	P575                                	                             5549567 	                   105821 	                       17 	                3699035 	                     66.5 	                1.51
GCA_023646575.1    	Ralstonia solanacearum                                  	P565                                	                             5521433 	                   109802 	                       20 	                3680211 	                     66.5 	                1.51
GCA_023646585.1    	Ralstonia solanacearum                                  	P557                                	                             5523219 	                   102154 	                       18 	                3681158 	                     66.5 	                1.46
GCA_023646615.1    	Ralstonia solanacearum                                  	P488                                	                             5518761 	                    54886 	                       32 	                3678185 	                     66.5 	                1.63
GCA_023700725.1    	Ralstonia solanacearum                                  	P545                                	                             5457720 	                    97963 	                       19 	                3640263 	                     66.5 	                1.46
GCA_028177105.1    	Ralstonia solanacearum                                  	CCRMRs339                           	                             5620556 	                   238614 	                        8 	                3744474 	                     66.5 	                3.21
GCA_028177115.1    	Ralstonia solanacearum                                  	CCRMRs121                           	                             5364378 	                   504573 	                        4 	                3579304 	                     66.5 	                3.29
GCA_028177125.1    	Ralstonia solanacearum                                  	CCRMRs286                           	                             5467440 	                   185753 	                        9 	                3641753 	                     66.5 	                1.85
GCA_028177135.1    	Ralstonia solanacearum                                  	CCRMRs294                           	                             5477764 	                   204912 	                        8 	                3647999 	                     66.5 	                1.85
GCA_028177185.1    	Ralstonia solanacearum                                  	B4                                  	                             5858492 	                   574994 	                        5 	                3894781 	                     66.5 	                2.11
GCA_028177285.1    	Ralstonia solanacearum                                  	CCRMRs223                           	                             5578840 	                   296540 	                        5 	                3717151 	                     66.5 	                2.97
GCA_028177305.1    	Ralstonia solanacearum                                  	CCRMRs283                           	                             5467851 	                   204913 	                        8 	                3642017 	                     66.5 	                1.85
GCA_028177325.1    	Ralstonia solanacearum                                  	CCRMRs302                           	                             5647432 	                    37222 	                       42 	                3760824 	                     66.5 	                3.54
GCA_028177365.1    	Ralstonia solanacearum                                  	B106                                	                             5497095 	                   399454 	                        5 	                3662249 	                     66.5 	                3
GCA_028177375.1    	Ralstonia solanacearum                                  	CCRMRs314                           	                             5698172 	                    37222 	                       42 	                3794520 	                     66.5 	                3.54
GCA_028177485.1    	Ralstonia solanacearum                                  	CCRMRs279                           	                             5702525 	                    45584 	                       35 	                3793966 	                     66.5 	                3.54
GCA_028177505.1    	Ralstonia solanacearum                                  	B75                                 	                             5424833 	                   333179 	                        6 	                3617478 	                     66.5 	                3
GCA_028177545.1    	Ralstonia solanacearum                                  	CCRMRs317                           	                             5499868 	                   205138 	                        7 	                3661459 	                     66.5 	                1.85
GCA_028177635.1    	Ralstonia solanacearum                                  	CCRMRs91                            	                             5694896 	                   105718 	                       18 	                3786006 	                     66.5 	                2.85
GCA_028464595.1    	Ralstonia solanacearum                                  	UW136                               	                             5460746 	                    71434 	                       24 	                3646722 	                     67   	                2.15
GCA_028464615.1    	Ralstonia solanacearum                                  	UW140                               	                             5586527 	                    62337 	                       31 	                3720124 	                     66.5 	                2.93
GCA_028464665.1    	Ralstonia solanacearum                                  	UW190                               	                             5492905 	                   144569 	                       13 	                3657583 	                     66.5 	                2.04
GCA_028464675.1    	Ralstonia solanacearum                                  	UW98                                	                             5650681 	                    74733 	                       26 	                3763745 	                     66.5 	                3.09
GCA_028464745.1    	Ralstonia solanacearum                                  	UW192                               	                             5471960 	                   139800 	                       14 	                3642531 	                     66.5 	                1.85
GCA_028464765.1    	Ralstonia solanacearum                                  	UW177                               	                             5366744 	                   170557 	                       10 	                3580547 	                     66.5 	                1.54
GCA_028464775.1    	Ralstonia solanacearum                                  	UW176                               	                             5365472 	                   138675 	                       11 	                3579758 	                     66.5 	                1.56
GCA_028464785.1    	Ralstonia solanacearum                                  	UW174                               	                             5385000 	                   183394 	                       11 	                3591138 	                     66.5 	                1.79
GCA_028464815.1    	Ralstonia solanacearum                                  	UW171                               	                             5268082 	                   183394 	                       10 	                3518910 	                     67   	                1.79
GCA_028464835.1    	Ralstonia solanacearum                                  	UW172                               	                             5388829 	                   186452 	                       10 	                3592992 	                     66.5 	                1.95
GCA_028464865.1    	Ralstonia solanacearum                                  	UW158                               	                             5457915 	                   140298 	                       12 	                3635044 	                     66.5 	                1.85
GCA_028464965.1    	Ralstonia solanacearum                                  	UW132                               	                             5481571 	                   144488 	                       13 	                3649246 	                     66.5 	                1.88
GCA_028728185.1    	Ralstonia solanacearum                                  	UW75                                	                             5477259 	                    63146 	                       29 	                3656995 	                     67   	                2.13
GCA_028728295.1    	Ralstonia solanacearum                                  	UW191                               	                             5509130 	                   101461 	                       18 	                3666703 	                     66.5 	                1.85
GCA_029220005.1    	Ralstonia solanacearum                                  	BA7                                 	                             5749371 	                  3329396 	                        1 	                3817668 	                     66.5 	                3.02
GCA_030412035.1    	Ralstonia solanacearum                                  	RALSA-MA                            	                             5221658 	                   108706 	                       15 	                3488185 	                     67   	                1.78
GCA_036543205.1    	Ralstonia solanacearum                                  	UW853_UCD541                        	                             5354385 	                    74120 	                       20 	                3563635 	                     66.5 	                4.2
GCA_036553425.1    	Ralstonia solanacearum                                  	UCD576                              	                             5755092 	                   125892 	                       14 	                3825212 	                     66.5 	                3.12
GCA_037652855.1    	Ralstonia solanacearum                                  	PD 8567                             	                             5231247 	                   105357 	                       16 	                3492837 	                     67   	                1.78
GCA_037652875.1    	Ralstonia solanacearum                                  	PD 7579                             	                             5230318 	                   101397 	                       16 	                3492164 	                     67   	                1.78
GCA_037652935.1    	Ralstonia solanacearum                                  	PD 8566                             	                             5198069 	                   108905 	                       16 	                3470638 	                     67   	                1.78
GCA_037653005.1    	Ralstonia solanacearum                                  	PD 8568                             	                             5233441 	                   101397 	                       16 	                3494131 	                     67   	                1.78
GCA_037653055.1    	Ralstonia solanacearum                                  	PD 7642                             	                             5233024 	                   101398 	                       16 	                3493699 	                     67   	                1.78
GCA_037653075.1    	Ralstonia solanacearum                                  	PD 7397                             	                             5197734 	                   101396 	                       16 	                3470398 	                     67   	                1.78
GCA_037653095.1    	Ralstonia solanacearum                                  	PD 7414                             	                             5198336 	                   105357 	                       15 	                3470772 	                     67   	                1.78
GCA_037653155.1    	Ralstonia solanacearum                                  	PD 7394                             	                             5197733 	                   101396 	                       16 	                3470409 	                     67   	                1.78
GCA_037653195.1    	Ralstonia solanacearum                                  	PD 8570                             	                             5231490 	                   106098 	                       15 	                3492737 	                     67   	                1.78
GCA_037653205.1    	Ralstonia solanacearum                                  	PD 7421                             	                             5198555 	                   108905 	                       16 	                3470919 	                     67   	                1.78
GCA_037653275.1    	Ralstonia solanacearum                                  	PD 7578                             	                             5230445 	                   101397 	                       16 	                3492208 	                     67   	                1.78
GCA_037653325.1    	Ralstonia solanacearum                                  	PD 7645                             	                             5232683 	                   101396 	                       16 	                3493729 	                     67   	                1.78
GCA_037653355.1    	Ralstonia solanacearum                                  	PD 7647                             	                             5233676 	                   105367 	                       16 	                3494235 	                     67   	                1.78
GCA_037653395.1    	Ralstonia solanacearum                                  	PD 7672                             	                             5233058 	                   101397 	                       16 	                3493915 	                     67   	                1.78
GCA_037653435.1    	Ralstonia solanacearum                                  	PD 7711                             	                             5231727 	                   101397 	                       16 	                3493211 	                     67   	                1.78
GCA_037653495.1    	Ralstonia solanacearum                                  	PD 8569                             	                             5234005 	                   105357 	                       15 	                3494442 	                     67   	                1.78
GCA_037653535.1    	Ralstonia solanacearum                                  	PD 7576                             	                             5219412 	                   105357 	                       16 	                3485129 	                     67   	                1.78
GCA_037653575.1    	Ralstonia solanacearum                                  	PD 8571                             	                             5222160 	                   101396 	                       16 	                3487022 	                     67   	                1.78
GCA_037653615.1    	Ralstonia solanacearum                                  	PD 7677                             	                             5194660 	                   105357 	                       16 	                3469239 	                     67   	                1.78
GCA_037653695.1    	Ralstonia solanacearum                                  	PD 7648                             	                             5238205 	                   110240 	                       16 	                3497209 	                     67   	                1.78
GCA_037653715.1    	Ralstonia solanacearum                                  	PD 7389                             	                             5220932 	                   101397 	                       16 	                3486180 	                     67   	                1.78
GCA_037653735.1    	Ralstonia solanacearum                                  	PD 7644                             	                             5089285 	                   100234 	                       17 	                3398074 	                     67   	                1.47
GCA_037653775.1    	Ralstonia solanacearum                                  	PD 7670                             	                             5233551 	                   105357 	                       16 	                3494168 	                     67   	                1.78
GCA_037653835.1    	Ralstonia solanacearum                                  	PD 7671                             	                             5233024 	                   105357 	                       16 	                3493898 	                     67   	                1.78
GCA_037892735.1    	Ralstonia solanacearum                                  	PD 7643                             	                             5133021 	                   100234 	                       17 	                3428520 	                     67   	                1.47
GCA_039692545.1    	Ralstonia solanacearum                                  	077-080_1                           	                             5629002 	                  3503477 	                        1 	                3744727 	                     66.5 	                2.17
GCA_039693335.1    	Ralstonia solanacearum                                  	068_2                               	                             5628986 	                  3503462 	                        1 	                3744706 	                     66.5 	                2.17
GCA_041023715.1    	Ralstonia solanacearum                                  	RsP01                               	                             5391747 	                   147104 	                       11 	                3593424 	                     66.5 	                2.01
GCA_041027265.1    	Ralstonia solanacearum                                  	B75                                 	                             5396350 	                   227702 	                        8 	                3598412 	                     66.5 	                3
GCA_041027275.1    	Ralstonia solanacearum                                  	B74                                 	                             5402575 	                   246227 	                        6 	                3602739 	                     66.5 	                3
GCA_041276365.1    	Ralstonia solanacearum                                  	AN-0720                             	                             5531281 	                    81950 	                       21 	                3681971 	                     66.5 	                3.8
GCA_041714685.1    	Ralstonia solanacearum                                  	115-4                               	                             5625384 	                  3500755 	                        1 	                3742553 	                     66.5 	                2.17
GCA_041714695.1    	Ralstonia solanacearum                                  	144-1                               	                             5617971 	                  3500665 	                        1 	                3737890 	                     66.5 	                2.17
GCA_041714705.1    	Ralstonia solanacearum                                  	071-2                               	                             5625326 	                  3500695 	                        1 	                3742463 	                     66.5 	                2.17
GCA_041714715.1    	Ralstonia solanacearum                                  	102-3                               	                             5616857 	                  3500655 	                        1 	                3737256 	                     66.5 	                2.17
GCA_041714725.1    	Ralstonia solanacearum                                  	095-3                               	                             5616866 	                  3500663 	                        1 	                3737235 	                     66.5 	                2.17
GCA_029220025.1    	Ralstonia solanacearum CFBP2957                         	CFBP2957                            	                             5692289 	                  3416152 	                        1 	                3781444 	                     66.5 	                2.98
GCA_001050995.1    	Ralstonia solanacearum IPO1609                          	IPO1609                             	                             5318522 	                    28779 	                       58 	                3448957 	                     66.5 	                2.28
GCA_002251695.1    	Ralstonia solanacearum K60                              	K60                                 	                             5770663 	                  3838865 	                        1 	                3830993 	                     66.5 	                4.32
GCA_000212635.2    	Ralstonia solanacearum MolK2                            	MolK2                               	                             5551882 	                    30467 	                       58 	                3702024 	                     66.5 	                1.71
GCA_029219985.1    	Ralstonia solanacearum MolK2                            	MolK2                               	                             5586409 	                  3113499 	                        1 	                3723757 	                     66.5 	                1.66
GCA_000525615.1    	Ralstonia solanacearum P673                             	P673                                	                             5318727 	                    51893 	                       35 	                3557520 	                     67   	                3.48
GCA_000215325.1    	Ralstonia solanacearum Po82                             	Po82                                	                             5430263 	                  3481091 	                        1 	                3620415 	                     66.5 	                1.23
GCA_000283475.1    	Ralstonia solanacearum PSI07                            	PSI07                               	                             5605618 	                  3520618 	                        1 	                3717807 	                     66.5 	                3.77
GCA_036628455.1    	Ralstonia solanacearum species complex bacterium KE055  	KE055                               	                             5571502 	                   131916 	                       14 	                3701874 	                     66.5 	                0.97
GCA_036628435.1    	Ralstonia solanacearum species complex bacterium KE056  	KE056                               	                             5581392 	                   221609 	                        9 	                3724403 	                     66.5 	                1.17
GCA_036628335.1    	Ralstonia solanacearum species complex bacterium KE100  	KE100                               	                             5258356 	                   131372 	                       14 	                3508292 	                     66.5 	                0.28
GCA_036628395.1    	Ralstonia solanacearum species complex bacterium KE101  	KE101                               	                             5640639 	                   123827 	                       16 	                3782180 	                     67   	                0.17
GCA_036628355.1    	Ralstonia solanacearum species complex bacterium KE449  	KE449                               	                             5249523 	                   117291 	                       13 	                3501941 	                     66.5 	                0.68
GCA_036628415.1    	Ralstonia solanacearum species complex bacterium KE711  	KE711                               	                             5239204 	                   131369 	                       14 	                3496293 	                     66.5 	                0.32
GCA_036628315.1    	Ralstonia solanacearum species complex bacterium RW470  	RW470                               	                             5586061 	                   115013 	                       17 	                3742615 	                     67   	                0.41
GCA_036628375.1    	Ralstonia solanacearum species complex bacterium ZIM076 	ZIM076                              	                             5269663 	                   131371 	                       13 	                3515472 	                     66.5 	                0.32
GCA_000167955.1    	Ralstonia solanacearum UW551                            	UW551                               	                             5895318 	                    65840 	                       29 	                3823183 	                     65   	                1.87
GCA_023955655.1    	Ralstonia soli                                          	21MJYT02-11                         	                             5726971 	                   633821 	                        4 	                3671896 	                     64   	                1.46
GCA_040544795.1    	Ralstonia sp. 1138                                      	1138                                	                             5520022 	                  1108028 	                        2 	                3552020 	                     64.5 	                1.29
GCA_031581505.1    	Ralstonia sp. 11b                                       	11b                                 	                             5024091 	                   564649 	                        3 	                3203393 	                     64   	                1.17
GCA_036631435.1    	Ralstonia sp. 1B3                                       	1B3                                 	                             2564592 	                    73774 	                       14 	                1654474 	                     64.5 	                 
GCA_900104095.1    	Ralstonia sp. 25mfcol4.1                                	25MFCol4.1                          	                             6337400 	                   341602 	                        7 	                4155980 	                     65.5 	                4.39
GCA_013177745.1    	Ralstonia sp. 3N                                        	3N                                  	                             5350286 	                    99673 	                       20 	                3400221 	                     63.5 	                0.17
GCA_005503495.1    	Ralstonia sp. 3PA37C10                                  	3PA37C10                            	                             5303655 	                   156333 	                       11 	                3380763 	                     63.5 	                0.51
GCA_000227255.2    	Ralstonia sp. 5_2_56FAA                                 	5_2_56FAA                           	                             5254771 	                   653153 	                        4 	                3337836 	                     63.5 	                0.17
GCA_000801955.1    	Ralstonia sp. A12                                       	A12                                 	                             6104714 	                   298673 	                        7 	                3874420 	                     63.5 	                2.59
GCA_016429285.1    	Ralstonia sp. ASV6                                      	ASV6                                	                             5897561 	                    32024 	                       61 	                3729503 	                     63   	                5.73
GCA_000442475.1    	Ralstonia sp. AU12-08                                   	AU12-08                             	                             6229152 	                   178545 	                       11 	                3957673 	                     63.5 	                0.19
GCA_018726805.1    	Ralstonia sp. B265                                      	B265                                	                             4939245 	                  3582209 	                        1 	                3158341 	                     64   	                0.17
GCA_040744935.1    	Ralstonia sp. CP                                        	CP                                  	                             5420363 	                  3666229 	                        1 	                3459726 	                     64   	                1.28
GCA_029893465.1    	Ralstonia sp. GP73                                      	GP73                                	                             5455776 	                   405261 	                        4 	                3471701 	                     63.5 	                0.17
GCA_003290055.1    	Ralstonia sp. GX3-BWBA                                  	GX3-BWBA                            	                             5817683 	                   417769 	                        4 	                3682833 	                     63.5 	                2.67
GCA_000485415.1    	Ralstonia sp. JGI 0001001-A05                           	JGI 0001001-A05                     	                             5245811 	                   134791 	                       14 	                3340225 	                     63.5 	                 
GCA_000483225.1    	Ralstonia sp. JGI 0001001-B07                           	JGI 0001001-B07                     	                             5444360 	                   124164 	                       16 	                3464355 	                     63.5 	                 
GCA_000483345.1    	Ralstonia sp. JGI 0001001-C06                           	JGI 0001001-C06                     	                             5717007 	                   122716 	                       15 	                3614429 	                     63.5 	                 
GCA_958437745.1    	Ralstonia sp. LMG 32965                                 	R-77567                             	                             5186224 	                   559737 	                        4 	                3339611 	                     64.5 	                1.06
GCA_958438995.1    	Ralstonia sp. LMG 32965                                 	R-20233                             	                             5337704 	                   684678 	                        3 	                3437407 	                     64.5 	                0.37
GCA_958439105.1    	Ralstonia sp. LMG 32965                                 	LMG 32965                           	                             5612667 	                   403422 	                        5 	                3602753 	                     64   	                0.95
GCA_900115545.1    	Ralstonia sp. NFACC01                                   	NFACC01                             	                             5365746 	                   544541 	                        4 	                3421687 	                     64   	                0.25
GCA_001485395.1    	Ralstonia sp. NT80                                      	NT80                                	                             5789392 	                    86500 	                       26 	                3682313 	                     63.5 	                0.17
GCA_038440115.1    	Ralstonia sp. OTU4908                                   	OTU4908                             	                             5330710 	                   159630 	                       12 	                3392903 	                     63.5 	                0.19
GCA_037023145.1    	Ralstonia sp. RRA                                       	RRA                                 	                             6496418 	                  3758952 	                        1 	                4102485 	                     63   	                1.18
GCA_026016705.1    	Ralstonia sp. RS642                                     	RS642                               	                             5838575 	                  3841654 	                        1 	                3911555 	                     67   	                0.17
GCA_026016745.1    	Ralstonia sp. RS647                                     	RS647                               	                             5916874 	                  3847459 	                        1 	                3956083 	                     67   	                0.17
GCA_026016725.1    	Ralstonia sp. RS650                                     	RS650                               	                             5915133 	                  3841171 	                        1 	                3957898 	                     67   	                0.17
GCA_003851545.1    	Ralstonia sp. SET104                                    	SET104                              	                             4796748 	                   287261 	                        7 	                3035056 	                     63.5 	                0.88
GCA_007997035.1    	Ralstonia sp. TCR112                                    	TCR112                              	                             5438534 	                    64370 	                       26 	                3506063 	                     64.5 	                7.72
GCA_000620465.1    	Ralstonia sp. UNC404CL21Col                             	UNC404CL21Col                       	                             5087452 	                  1651834 	                        2 	                3285638 	                     64.5 	                0.17
GCA_040688125.1    	Ralstonia sp. UNC404CL21Col                             	UNC404CL21Col                       	                             5110718 	                  3442847 	                        1 	                3299409 	                     64.5 	                0.17
GCA_900099845.1    	Ralstonia sp. UNCCL144                                  	UNCCL144                            	                             5251611 	                   226544 	                        8 	                3341805 	                     63.5 	                0.17
GCA_015910595.1    	Ralstonia syzygii                                       	NCPPB 3727                          	                             5191832 	                  3114875 	                        1 	                3449773 	                     66.5 	                0.28
GCA_015910645.1    	Ralstonia syzygii                                       	NCPPB 3219                          	                             5462846 	                   429060 	                        4 	                3597435 	                     66   	                1.56
GCA_015910655.1    	Ralstonia syzygii                                       	NCPPB 3445                          	                             4383940 	                   702479 	                        2 	                2903048 	                     66   	                1.7
GCA_018243215.1    	Ralstonia syzygii                                       	LLRS-1                              	                             5694719 	                  3648314 	                        1 	                3775982 	                     66.5 	                0.36
GCA_029219945.1    	Ralstonia syzygii                                       	BDBR229                             	                             5231100 	                  3617428 	                        1 	                3474738 	                     66.5 	                0.28
GCA_029219965.1    	Ralstonia syzygii R24                                   	R24                                 	                             5459644 	                  3708365 	                        1 	                3595561 	                     66   	                1.61
GCA_016743075.1    	Ralstonia syzygii subsp. celebesensis                   	UGMSS_Db01                          	                             5185188 	                  3570277 	                        1 	                3445814 	                     66.5 	                0.28
GCA_041228115.1    	Ralstonia syzygii subsp. celebesensis                   	NCPPB 3728                          	                             4964211 	                  3258049 	                        1 	                3296275 	                     66.5 	                0.17
GCA_041734835.1    	Ralstonia syzygii subsp. celebesensis                   	NCPPB 3727                          	                             5275032 	                  3574507 	                        1 	                3503015 	                     66.5 	                0.28
GCA_041734965.1    	Ralstonia syzygii subsp. celebesensis                   	NCPPB 3725                          	                             5276349 	                  3616149 	                        1 	                3503216 	                     66.5 	                0.28
GCA_037101365.1    	Ralstonia syzygii subsp. indonesiensis                  	MAFF 211271                         	                             5521407 	                  3532797 	                        1 	                3667503 	                     66.5 	                0.79
GCA_958348425.1    	Ralstonia thomasii                                      	LMG 7143                            	                             4910107 	                   374539 	                        5 	                3137510 	                     64   	                0.17
GCA_958405895.1    	Ralstonia thomasii                                      	LMG 18095                           	                             5036812 	                   287585 	                        5 	                3213361 	                     64   	                0.17
GCA_958405925.1    	Ralstonia thomasii                                      	R-77560                             	                             5083529 	                   397810 	                        4 	                3245692 	                     64   	                0.17
GCA_958439175.1    	Ralstonia thomasii                                      	R-6138                              	                             4911996 	                   323395 	                        6 	                3139005 	                     64   	                0.28
GCA_021173085.1    	Ralstonia wenshanensis                                  	56D2                                	                             5310536 	                  3505964 	                        1 	                3384751 	                     63.5 	                0.59
GCA_025290815.1    	Ralstonia wenshanensis                                  	22TCCZM03-6                         	                             5167002 	                   834607 	                        3 	                3302132 	                     64   	                0.28
