Assembly Accession 	Assembly Name                           	Organism Name                   	Organism Taxonomic ID 	Organism Infraspecific Names Breed 	Organism Infraspecific Names Strain 	Organism Infraspecific Names Cultivar 	Organism Infraspecific Names Ecotype 	Organism Infraspecific Names Isolate 	Organism Infraspecific Names Sex 	Annotation Name                                        	Assembly Stats Total Sequence Length 	Assembly Stats Total Number of Chromosomes 	Assembly Level  	Assembly Release Date 	WGS project accession 	Assembly Stats Contig N50 	Assembly Stats Scaffold N50 	Assembly Stats Number of Scaffolds 	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech                 	Assembly Submitter                                                     	Assembly BioProject Accession 	Assembly BioSample Accession 	Annotation Count Gene Total            	Annotation Count Gene Protein-coding 	Annotation Count Gene Pseudogene 	Type Material Display Text  	CheckM marker set   	CheckM completeness 	CheckM contamination
GCF_019643015.1    	ASM1964301v1                            	Ralstonia pickettii             	                  329 	                                   	110730038-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5431051 	                                           	Contig          	2021-08-16            	QGCG01                	                   195611 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001570                 	5117                                   	                                5000 	                              62 	                            	Ralstonia pickettii 	              91.05 	                6.28
GCA_014141695.1    	ASM1414169v1                            	Ralstonia pickettii             	                  329 	                                   	s55                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5696810 	                                           	Scaffold        	2020-08-10            	RARI01                	                   195552 	                     195552 	                                59 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135535                 	5466                                   	                                5232 	                             176 	                            	Ralstonia pickettii 	              93.02 	                8.24
GCF_014141695.1    	ASM1414169v1                            	Ralstonia pickettii             	                  329 	                                   	s55                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5696810 	                                           	Scaffold        	2020-08-10            	RARI01                	                   195552 	                     195552 	                                59 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135535                 	5394                                   	                                5268 	                              69 	                            	Ralstonia pickettii 	              93.02 	                8.24
GCA_014141735.1    	ASM1414173v1                            	Ralstonia pickettii             	                  329 	                                   	s51                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5696886 	                                           	Scaffold        	2020-08-10            	RBBJ01                	                   195552 	                     195552 	                                61 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135531                 	5463                                   	                                5230 	                             175 	                            	Ralstonia pickettii 	              93.02 	                8.24
GCF_014141735.1    	ASM1414173v1                            	Ralstonia pickettii             	                  329 	                                   	s51                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5696886 	                                           	Scaffold        	2020-08-10            	RBBJ01                	                   195552 	                     195552 	                                61 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135531                 	5395                                   	                                5269 	                              69 	                            	Ralstonia pickettii 	              93.02 	                8.24
GCA_014141805.1    	ASM1414180v1                            	Ralstonia pickettii             	                  329 	                                   	s50                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5696434 	                                           	Scaffold        	2020-08-10            	RARM01                	                   195552 	                     195552 	                                59 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135530                 	5466                                   	                                5235 	                             173 	                            	Ralstonia pickettii 	              93.02 	                8.24
GCF_014141805.1    	ASM1414180v1                            	Ralstonia pickettii             	                  329 	                                   	s50                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5696434 	                                           	Scaffold        	2020-08-10            	RARM01                	                   195552 	                     195552 	                                59 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135530                 	5394                                   	                                5270 	                              67 	                            	Ralstonia pickettii 	              93.02 	                8.24
GCA_014142655.1    	ASM1414265v1                            	Ralstonia pickettii             	                  329 	                                   	s6                                  	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5782490 	                                           	Contig          	2020-08-10            	RASR01                	                   195552 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135486                 	5572                                   	                                5338 	                             177 	                            	Ralstonia pickettii 	              93.54 	                8.68
GCF_014142655.1    	ASM1414265v1                            	Ralstonia pickettii             	                  329 	                                   	s6                                  	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5782490 	                                           	Contig          	2020-08-10            	RASR01                	                   195552 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135486                 	5496                                   	                                5370 	                              70 	                            	Ralstonia pickettii 	              93.54 	                8.68
GCA_014142685.1    	ASM1414268v1                            	Ralstonia pickettii             	                  329 	                                   	s4                                  	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5781367 	                                           	Scaffold        	2020-08-10            	RAST01                	                   195552 	                     195552 	                                60 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135484                 	5570                                   	                                5337 	                             176 	                            	Ralstonia pickettii 	              93.54 	                8.68
GCF_014142685.1    	ASM1414268v1                            	Ralstonia pickettii             	                  329 	                                   	s4                                  	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5781367 	                                           	Scaffold        	2020-08-10            	RAST01                	                   195552 	                     195552 	                                60 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135484                 	5494                                   	                                5368 	                              70 	                            	Ralstonia pickettii 	              93.54 	                8.68
GCA_014142695.1    	ASM1414269v1                            	Ralstonia pickettii             	                  329 	                                   	s5                                  	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5386944 	                                           	Contig          	2020-08-10            	RASS01                	                   195552 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135485                 	5137                                   	                                4925 	                             156 	                            	Ralstonia pickettii 	              91.28 	                5.93
GCF_014142695.1    	ASM1414269v1                            	Ralstonia pickettii             	                  329 	                                   	s5                                  	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5386944 	                                           	Contig          	2020-08-10            	RASS01                	                   195552 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135485                 	5077                                   	                                4959 	                              63 	                            	Ralstonia pickettii 	              91.28 	                5.93
GCA_019642025.1    	ASM1964202v1                            	Ralstonia pickettii             	                  329 	                                   	092570011-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5783836 	                                           	Contig          	2021-08-16            	QGAW01                	                   195552 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001610                 	5467                                   	                                5313 	                              98 	                            	Ralstonia pickettii 	              93.54 	                8.68
GCF_019642025.1    	ASM1964202v1                            	Ralstonia pickettii             	                  329 	                                   	092570011-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5783836 	                                           	Contig          	2021-08-16            	QGAW01                	                   195552 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001610                 	5498                                   	                                5372 	                              70 	                            	Ralstonia pickettii 	              93.54 	                8.68
GCA_019642175.1    	ASM1964217v1                            	Ralstonia pickettii             	                  329 	                                   	140710038-2                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5700113 	                                           	Contig          	2021-08-16            	QGBB01                	                   195552 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001605                 	5367                                   	                                5210 	                             100 	                            	Ralstonia pickettii 	              93.02 	                7.89
GCF_019642175.1    	ASM1964217v1                            	Ralstonia pickettii             	                  329 	                                   	140710038-2                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5700113 	                                           	Contig          	2021-08-16            	QGBB01                	                   195552 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001605                 	5400                                   	                                5270 	                              73 	                            	Ralstonia pickettii 	              93.02 	                7.89
GCA_019642275.1    	ASM1964227v1                            	Ralstonia pickettii             	                  329 	                                   	092950004-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5389165 	                                           	Contig          	2021-08-16            	QGBG01                	                   195552 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001599                 	5053                                   	                                4911 	                              87 	                            	Ralstonia pickettii 	              91.28 	                5.93
GCF_019642275.1    	ASM1964227v1                            	Ralstonia pickettii             	                  329 	                                   	092950004-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5389165 	                                           	Contig          	2021-08-16            	QGBG01                	                   195552 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001599                 	5081                                   	                                4962 	                              64 	                            	Ralstonia pickettii 	              91.28 	                5.93
GCA_019642295.1    	ASM1964229v1                            	Ralstonia pickettii             	                  329 	                                   	133170049-3                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5698029 	                                           	Contig          	2021-08-16            	QGBF01                	                   195552 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001600                 	5363                                   	                                5207 	                              99 	                            	Ralstonia pickettii 	              93.02 	                8.24
GCF_019642295.1    	ASM1964229v1                            	Ralstonia pickettii             	                  329 	                                   	133170049-3                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5698029 	                                           	Contig          	2021-08-16            	QGBF01                	                   195552 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001600                 	5395                                   	                                5270 	                              68 	                            	Ralstonia pickettii 	              93.02 	                8.24
GCA_019642555.1    	ASM1964255v1                            	Ralstonia pickettii             	                  329 	                                   	092570008-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5782962 	                                           	Contig          	2021-08-16            	QGBO01                	                   195552 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001590                 	5465                                   	                                5310 	                              99 	                            	Ralstonia pickettii 	              93.54 	                8.68
GCF_019642555.1    	ASM1964255v1                            	Ralstonia pickettii             	                  329 	                                   	092570008-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5782962 	                                           	Contig          	2021-08-16            	QGBO01                	                   195552 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001590                 	5499                                   	                                5372 	                              71 	                            	Ralstonia pickettii 	              93.54 	                8.68
GCA_013413505.1    	ASM1341350v1                            	Ralstonia pickettii             	                  329 	                                   	T9CP10                              	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             4985044 	                                           	Contig          	2020-07-13            	JACBXL01              	                   184955 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina HiSeq                           	Universidade Catolica Portuguesa                                       	PRJNA335691                   	SAMN15472765                 	4730                                   	                                4595 	                              78 	                            	Ralstonia pickettii 	              87.64 	                3.79
GCF_013413505.1    	ASM1341350v1                            	Ralstonia pickettii             	                  329 	                                   	T9CP10                              	                                      	                                     	                                     	                                 	GCF_013413505.1-RS_2024_08_22                          	                             4985044 	                                           	Contig          	2020-07-13            	JACBXL01              	                   184955 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina HiSeq                           	Universidade Catolica Portuguesa                                       	PRJNA335691                   	SAMN15472765                 	4771                                   	                                4649 	                              65 	                            	Ralstonia pickettii 	              87.64 	                3.79
GCA_014141555.1    	ASM1414155v1                            	Ralstonia pickettii             	                  329 	                                   	s65                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5815728 	                                           	Scaffold        	2020-08-10            	RARD01                	                   181887 	                     181887 	                                69 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135541                 	5660                                   	                                5431 	                             173 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCF_014141555.1    	ASM1414155v1                            	Ralstonia pickettii             	                  329 	                                   	s65                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5815728 	                                           	Scaffold        	2020-08-10            	RARD01                	                   181887 	                     181887 	                                69 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135541                 	5592                                   	                                5459 	                              78 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCA_014141585.1    	ASM1414158v1                            	Ralstonia pickettii             	                  329 	                                   	s64                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5815661 	                                           	Scaffold        	2020-08-10            	RARE01                	                   181887 	                     181887 	                                74 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135540                 	5659                                   	                                5433 	                             169 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCF_014141585.1    	ASM1414158v1                            	Ralstonia pickettii             	                  329 	                                   	s64                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5815661 	                                           	Scaffold        	2020-08-10            	RARE01                	                   181887 	                     181887 	                                74 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135540                 	5592                                   	                                5459 	                              77 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCA_014142125.1    	ASM1414212v1                            	Ralstonia pickettii             	                  329 	                                   	s34                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5815866 	                                           	Contig          	2020-08-10            	RASA01                	                   181887 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135514                 	5663                                   	                                5436 	                             172 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCF_014142125.1    	ASM1414212v1                            	Ralstonia pickettii             	                  329 	                                   	s34                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5815866 	                                           	Contig          	2020-08-10            	RASA01                	                   181887 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135514                 	5589                                   	                                5458 	                              77 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCA_014142135.1    	ASM1414213v1                            	Ralstonia pickettii             	                  329 	                                   	s32                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5816172 	                                           	Scaffold        	2020-08-10            	RASB01                	                   181887 	                     181887 	                                70 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135512                 	5658                                   	                                5433 	                             170 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCF_014142135.1    	ASM1414213v1                            	Ralstonia pickettii             	                  329 	                                   	s32                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5816172 	                                           	Scaffold        	2020-08-10            	RASB01                	                   181887 	                     181887 	                                70 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135512                 	5591                                   	                                5461 	                              76 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCA_014142195.1    	ASM1414219v1                            	Ralstonia pickettii             	                  329 	                                   	s29                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5814031 	                                           	Scaffold        	2020-08-10            	RASC01                	                   181887 	                     181887 	                                69 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135509                 	5652                                   	                                5427 	                             170 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCF_014142195.1    	ASM1414219v1                            	Ralstonia pickettii             	                  329 	                                   	s29                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5814031 	                                           	Scaffold        	2020-08-10            	RASC01                	                   181887 	                     181887 	                                69 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135509                 	5586                                   	                                5458 	                              74 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCA_019641775.1    	ASM1964177v1                            	Ralstonia pickettii             	                  329 	                                   	153490002-3                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5818764 	                                           	Contig          	2021-08-16            	QGAQ01                	                   181887 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001616                 	5560                                   	                                5407 	                              98 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCF_019641775.1    	ASM1964177v1                            	Ralstonia pickettii             	                  329 	                                   	153490002-3                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5818764 	                                           	Contig          	2021-08-16            	QGAQ01                	                   181887 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001616                 	5596                                   	                                5462 	                              79 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCA_019641815.1    	ASM1964181v1                            	Ralstonia pickettii             	                  329 	                                   	153490002-2                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5818597 	                                           	Contig          	2021-08-16            	QGAR01                	                   181887 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001615                 	5561                                   	                                5409 	                              96 	                            	Ralstonia pickettii 	              91.98 	                5.73
GCF_019641815.1    	ASM1964181v1                            	Ralstonia pickettii             	                  329 	                                   	153490002-2                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5818597 	                                           	Contig          	2021-08-16            	QGAR01                	                   181887 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001615                 	5598                                   	                                5464 	                              78 	                            	Ralstonia pickettii 	              91.98 	                5.73
